term,synonyms,description
ahorro,"cuenta de ahorros;cuenta de ahorro","Saldo y propósito para reservar fondos a futuro"
CBU,"clave bancaria uniforme","Identificador único de cuenta para transferencias"
interes,"tasa de interes;porcentaje","Costo del dinero prestado o remuneración de ahorros"
prestamo,"credito;loan;financiamiento;prestamo personal","Producto crediticio donde el banco entrega capital y el cliente devuelve capital e intereses en cuotas"
credito,"prestamo;loan;financiamiento;linea de credito","Sinónimo operativo de préstamo en preguntas de clientes; debe mapearse al concepto formal Loan"
refinanciacion,"refinanciar;reestructurar credito;bajar cuota;renegociar prestamo;reprogramar deuda","Proceso para modificar condiciones de un préstamo vigente, normalmente tasa, plazo, cuota o cronograma"
cuota,"installment;pago mensual;abono;mensualidad","Pago periódico de un préstamo compuesto por capital, intereses y posibles cargos"
tasa,"tasa de interes;interes;porcentaje;APR;TEA;TNA","Porcentaje usado para calcular costo financiero o remuneración de depósitos"
condiciones de prestamo,"condiciones crediticias;plazo;tasa;cronograma;monto aprobado","Conjunto de términos aprobados para un préstamo o refinanciación"
solicitud de prestamo,"pedir credito;aplicar a prestamo;loan application;originacion","Proceso de capturar datos, documentos e ingresos para evaluar un préstamo"
evaluacion crediticia,"scoring;buro de credito;analisis de riesgo;elegibilidad;capacidad de pago","Proceso de verificar riesgo, historial, ingresos y reglas para decidir elegibilidad"
desembolso,"entrega de fondos;acreditacion;disbursement;pago del prestamo","Evento por el cual el banco acredita al cliente el monto aprobado"
pago de prestamo,"pagar cuota;pago de credito;repayment;abono de prestamo","Proceso para registrar el pago de una cuota o deuda crediticia"
mora,"atraso;retraso;impago;late payment;delinquency","Estado de atraso en el pago de una obligación"
garantia,"colateral;aval;prenda;hipoteca;respaldo","Activo o persona que respalda una obligación crediticia"
cliente,"customer;titular;usuario;persona natural","Persona o entidad que contrata productos bancarios"
identificacion de cliente,"KYC;conozca a su cliente;validacion identidad;verificacion cliente","Proceso obligatorio para confirmar identidad y perfil de riesgo"
documentos del cliente,"documentacion;comprobantes;recibos;identificacion;soportes","Archivos requeridos para onboarding, préstamo o revisión"
cuenta de ahorro,"savings account;cuenta;ahorro;deposit account","Cuenta bancaria para recibir depósitos, transferencias y generar intereses"
apertura de cuenta,"abrir cuenta;crear cuenta;alta de cuenta;onboarding cuenta","Proceso de crear una cuenta bancaria para un cliente"
deposito,"ingreso de dinero;abono;deposit;cash in","Movimiento que incrementa saldo disponible"
retiro,"extraccion;withdrawal;sacar dinero;cash out","Movimiento que disminuye saldo disponible"
transferencia,"transferir;envio de dinero;payment transfer;CBU;interbancaria","Movimiento de fondos entre cuentas propias o de terceros"
beneficiario,"destinatario;receptor;tercero;payee","Persona o cuenta que recibe fondos"
estado de cuenta,"extracto;resumen;statement;movimientos","Reporte de saldos, transacciones y cargos por periodo"
reclamo,"claim;queja;disputa;caso;incidencia","Solicitud de revisión por error, cargo no reconocido o problema operativo"
nota de credito,"credit note;ajuste a favor;reversion positiva","Documento o registro que reconoce un ajuste a favor del cliente"
nota de debito,"debit note;cargo;ajuste en contra","Documento o registro que reconoce un cargo o ajuste en contra del cliente"
operacion backend,"accion tecnica;API;CRUD;calculo;validacion","Operación técnica que debe modelarse como back_action y nunca como user_task"
aprobacion humana,"human approval;revision manual;underwriter approval;aprobacion de caso","Control humano requerido para casos de riesgo, excepción o monto elevado"
plan asesor,"advisory plan;flujo validado;secuencia de tareas","Secuencia prevalidada de user_tasks que debe proyectarse en runtime sin ser generada por el LLM"
